순위,영화명,개봉일,일일 관객수,누적 관객수,기준 날짜
1위,공조2: 인터내셔날,2022-09-07,27528,6274104,2022-10-05
2위,인생은 아름다워,2022-09-28,24760,388070,2022-10-05
3위,정직한 후보2,2022-09-28,20128,538385,2022-10-05
4위,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022-09-28,9949,251095,2022-10-05
5위,컴백홈,2022-10-05,7633,15349,2022-10-05
6위,스파이더맨: 노 웨이 홈 '펀버전',2022-10-05,4479,4479,2022-10-05
7위,신 에반게리온 극장판,2022-10-05,2944,2944,2022-10-05
8위,엑스칼리버 더 뮤지컬 다큐멘터리: 도겸의 찬란한 여정, ,2257,3126,2022-10-05
9위,고고다이노 극장판: 얼음공룡의 비밀,2022-10-05,2120,2578,2022-10-05
10위,듄,2021-10-20,2008,1588222,2022-10-05
1위,공조2: 인터내셔날,2022-09-07,28024,6302128,2022-10-06
2위,인생은 아름다워,2022-09-28,24418,412488,2022-10-06
3위,정직한 후보2,2022-09-28,21232,559617,2022-10-06
4위,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022-09-28,9962,261057,2022-10-06
5위,스마일,2022-10-06,9402,9677,2022-10-06
6위,극장판 5등분의 신부,2022-09-22,7722,43049,2022-10-06
7위,컴백홈,2022-10-05,5294,20643,2022-10-06
8위,스파이더맨: 노 웨이 홈 '펀버전',2022-10-05,2259,6738,2022-10-06
9위,고고다이노 극장판: 얼음공룡의 비밀,2022-10-05,2060,4638,2022-10-06
10위,듄,2021-10-20,1659,1589881,2022-10-06
1위,공조2: 인터내셔날,2022-09-07,43166,6345294,2022-10-07
2위,인생은 아름다워,2022-09-28,32495,444983,2022-10-07
3위,정직한 후보2,2022-09-28,29267,588884,2022-10-07
4위,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022-09-28,16723,277780,2022-10-07
5위,스마일,2022-10-06,9988,19665,2022-10-07
6위,컴백홈,2022-10-05,4787,25430,2022-10-07
7위,스파이더맨: 노 웨이 홈 '펀버전',2022-10-05,3437,10175,2022-10-07
8위,듄,2021-10-20,2422,1592303,2022-10-07
9위,고고다이노 극장판: 얼음공룡의 비밀,2022-10-05,2395,7033,2022-10-07
10위,신 에반게리온 극장판,2022-10-05,2076,6517,2022-10-07
1위,공조2: 인터내셔날,2022-09-07,73681,6418975,2022-10-08
2위,인생은 아름다워,2022-09-28,54635,499618,2022-10-08
3위,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022-09-28,49650,327430,2022-10-08
4위,정직한 후보2,2022-09-28,44676,633560,2022-10-08
5위,스마일,2022-10-06,12834,32499,2022-10-08
6위,극장판 헬로카봇: 수상한 마술단의 비밀,2022-09-28,11913,162472,2022-10-08
7위,고고다이노 극장판: 얼음공룡의 비밀,2022-10-05,10069,17102,2022-10-08
8위,컴백홈,2022-10-05,5473,30903,2022-10-08
9위,스파이더맨: 노 웨이 홈 '펀버전',2022-10-05,4782,14957,2022-10-08
10위,극장판 검정고무신 : 즐거운 나의 집,2022-10-06,3888,6604,2022-10-08
1위,공조2: 인터내셔날,2022-09-07,106798,6525773,2022-10-09
2위,인생은 아름다워,2022-09-28,81096,580714,2022-10-09
3위,정직한 후보2,2022-09-28,61887,695447,2022-10-09
4위,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022-09-28,61785,389215,2022-10-09
5위,극장판 헬로카봇: 수상한 마술단의 비밀,2022-09-28,16564,179036,2022-10-09
6위,스마일,2022-10-06,16420,48919,2022-10-09
7위,고고다이노 극장판: 얼음공룡의 비밀,2022-10-05,10954,28056,2022-10-09
8위,컴백홈,2022-10-05,6715,37618,2022-10-09
9위,스파이더맨: 노 웨이 홈 '펀버전',2022-10-05,5261,20218,2022-10-09
10위,극장판 검정고무신 : 즐거운 나의 집,2022-10-06,4708,11312,2022-10-09
