순위,영화명,개봉일,일일 관객수,누적 관객수,기준 날짜
1위,공조2: 인터내셔날,2022-09-07,"106,812명","6,525,787명",2022-10-09
2위,인생은 아름다워,2022-09-28,"81,115명","580,733명",2022-10-09
3위,정직한 후보2,2022-09-28,"61,922명","695,482명",2022-10-09
4위,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022-09-28,"61,788명","389,218명",2022-10-09
5위,극장판 헬로카봇: 수상한 마술단의 비밀,2022-09-28,"16,574명","179,046명",2022-10-09
6위,스마일,2022-10-06,"16,422명","48,921명",2022-10-09
7위,고고다이노 극장판: 얼음공룡의 비밀,2022-10-05,"10,954명","28,056명",2022-10-09
8위,컴백홈,2022-10-05,"6,727명","37,630명",2022-10-09
9위,스파이더맨: 노 웨이 홈 '펀버전',2022-10-05,"5,261명","20,218명",2022-10-09
10위,극장판 검정고무신 : 즐거운 나의 집,2022-10-06,"4,708명","11,312명",2022-10-09
